// NgramTextClassifier created this file from 3538118 characters.
Classification	Spam
Total	3538118
8258	1563	11.1444
8259	2482	10.4773
8260	1278	11.4349
8261	2418	10.515
8262	2467	10.486
8263	975	11.8253
8264	1883	10.8757
8265	3510	9.9773
8266	358	13.2707
8267	387	13.1584
8268	1054	11.7129
8269	3264	10.0821
8270	1873	10.8834
8271	1411	11.292
8272	2082	10.7308
8273	190	14.1847
8274	1387	11.3168
8275	5838	9.24329
8276	3809	9.85935
8277	753	12.198
8278	554	12.6408
8279	2055	10.7496
8280	71	15.6048
8281	990	11.8033
8282	85	15.3452
8283	1861	10.8927
8284	14	17.9472
8285	6	19.1696
8286	5	19.4326
8287	91	15.2468
8289	14974	7.88438
8290	8151	8.76179
8291	9202	8.58682
8292	3750	9.88188
8293	3364	10.0386
8294	10895	8.34317
8295	2101	10.7177
8296	5813	9.24948
8297	8928	8.63043
8298	801	12.1089
8299	463	12.8997
8300	4435	9.63983
8301	5986	9.20717
8302	3165	10.1266
8303	8756	8.65849
8304	5064	9.44849
8305	426	13.0198
8306	3698	9.90202
8307	11168	8.30747
8308	16555	7.73957
8309	1732	10.9963
8310	2106	10.7143
8311	10973	8.33288
8312	41	16.397
8313	4649	9.57185
8314	1373	11.3314
8315	58	15.8966
8316	9	18.5846
8317	15	17.8477
8318	8	18.7546
8340	4	19.7546
8352	15	17.8477
8457	16	17.7546
8458	669	12.3687
8480	684	12.3367
8481	493	12.8091
8482	56	15.9472
8483	9	18.5846
8486	17	17.6671
8487	11	18.2951
8488	1	21.7546
8489	15	17.8477
8490	10	18.4326
8493	111	14.9601
8494	13	18.0541
8497	3	20.1696
8499	2	20.7546
8501	1	21.7546
8502	2	20.7546
8503	2	20.7546
8504	1	21.7546
8508	596	12.5354
8509	27	16.9997
8510	1	21.7546
8511	6	19.1696
8512	1	21.7546
8516	38	16.5066
8518	1	21.7546
8519	2	20.7546
8539	39	16.4691
8545	2	20.7546
8547	3	20.1696
8549	3	20.1696
8550	9	18.5846
8557	1	21.7546
8563	16	17.7546
8566	2	20.7546
8569	84	15.3622
8570	72	15.5846
8608	2	20.7546
8629	1	21.7546
8647	2	20.7546
8713	2	20.7546
8714	740	12.2232
8736	9798	8.49628
8737	1	21.7546
