// NgramTextClassifier created this file from 2044556 characters.
Classification	Ham
Total	2044556
8787	35	15.8341
8788	112	14.156
8789	10	17.6414
8790	9	17.7934
8791	55	15.182
8792	9	17.7934
8793	9	17.7934
8794	1	20.9634
8797	16	16.9634
8798	1	20.9634
8799	4	18.9634
8800	3	19.3784
8801	56	15.156
8802	14	17.156
8803	35	15.8341
8804	31	16.0092
8805	4	18.9634
8806	25	16.3195
8807	8	17.9634
8808	76	14.7154
8809	85	14.554
8810	2	19.9634
8811	6	18.3784
8812	14	17.156
8813	40	15.6414
8814	29	16.1054
8815	16	16.9634
8816	23	16.4398
8817	2	19.9634
8818	25	16.3195
8819	33	15.919
8820	44	15.5039
8821	51	15.2909
8822	27	16.2085
8823	11	17.5039
8824	3	19.3784
8825	9	17.7934
8826	1	20.9634
8969	1	20.9634
8970	5	18.6414
8992	40	15.6414
8993	1	20.9634
8994	1	20.9634
8995	196	13.3486
9005	1	20.9634
9008	29	16.1054
9009	81	14.6235
9010	14	17.156
9012	1	20.9634
9014	1	20.9634
9016	35	15.8341
9020	1	20.9634
9023	1	20.9634
9027	1	20.9634
9029	3	19.3784
9030	76	14.7154
9033	1	20.9634
9040	1	20.9634
9049	1	20.9634
9051	1	20.9634
9057	3	19.3784
9060	3	19.3784
9061	2	19.9634
9062	5	18.6414
9065	5	18.6414
9070	1	20.9634
9075	1	20.9634
9076	1	20.9634
9078	1	20.9634
9226	4	18.9634
9248	14	17.156
9258	1	20.9634
9262	5	18.6414
9264	18	16.7934
9265	35	15.8341
9266	25	16.3195
9267	11	17.5039
9268	5	18.6414
9269	19	16.7154
9270	14	17.156
9271	11	17.5039
9272	8	17.9634
9273	20	16.6414
9311	2	19.9634
9314	1	20.9634
9315	4	18.9634
9316	5	18.6414
9317	18	16.7934
9318	5	18.6414
9321	2	19.9634
9325	6	18.3784
9327	1	20.9634
9328	6	18.3784
9331	4	18.9634
9482	6	18.3784
9504	33	15.919
9506	38	15.7154
9511	2	19.9634
9513	2	19.9634
9516	9	17.7934
9518	3	19.3784
9520	1	20.9634
9522	76	14.7154
9523	3	19.3784
9525	8	17.9634
9526	3	19.3784
9527	5	18.6414
9564	3	19.3784
9565	3	19.3784
9567	1	20.9634
9570	1	20.9634
9571	1	20.9634
9572	4	18.9634
9578	2	19.9634
9580	3	19.3784
9584	2	19.9634
9587	2	19.9634
9595	3	19.3784
9738	3	19.3784
9760	43	15.5371
9763	3	19.3784
9766	5	18.6414
9768	3	19.3784
9793	5	18.6414
9794	2	19.9634
9795	2	19.9634
9796	2	19.9634
9797	1	20.9634
9798	3	19.3784
9800	2	19.9634
9801	4	18.9634
9803	2	19.9634
9805	2	19.9634
9806	2	19.9634
9807	1	20.9634
9808	3	19.3784
9809	2	19.9634
9810	3	19.3784
9811	4	18.9634
9813	2	19.9634
9816	14	17.156
9817	2	19.9634
9825	2	19.9634
9827	10	17.6414
9828	1	20.9634
9829	3	19.3784
9830	1	20.9634
9831	1	20.9634
9832	1	20.9634
9833	2	19.9634
9836	3	19.3784
9838	17	16.8759
9840	56	15.156
9842	6	18.3784
9843	3	19.3784
9844	1	20.9634
9845	3	19.3784
9961	1	20.9634
9994	59	15.0807
10016	342	12.5455
10018	31	16.0092
10023	15	17.0565
10025	4	18.9634
10028	2	19.9634
10029	1	20.9634
10030	9	17.7934
10032	3	19.3784
10033	5	18.6414
10034	1	20.9634
10036	2	19.9634
10037	2	19.9634
10040	3	19.3784
10041	2	19.9634
10042	1	20.9634
10044	1	20.9634
10046	4	18.9634
10050	3	19.3784
10051	4	18.9634
10052	13	17.2629
10053	3	19.3784
10054	17	16.8759
10055	3	19.3784
10056	1	20.9634
10057	7	18.156
10058	2	19.9634
10059	1	20.9634
10060	5	18.6414
10061	8	17.9634
10063	1	20.9634
10064	3	19.3784
10066	5	18.6414
10067	14	17.156
10068	9	17.7934
10071	2	19.9634
10072	1	20.9634
10079	1	20.9634
10080	3	19.3784
10081	7	18.156
10082	4	18.9634
10083	5	18.6414
10084	94	14.4088
10085	15	17.0565
10086	6	18.3784
10088	2	19.9634
10089	30	16.0565
10090	1	20.9634
10091	6	18.3784
10092	78	14.678
10093	158	13.6596
10094	6	18.3784
10095	4	18.9634
10096	10	17.6414
10098	109	14.1952
10099	1016	10.9747
10100	684	11.5455
10101	8	17.9634
10102	145	13.7834
10103	9	17.7934
10106	7	18.156
10147	1	20.9634
10250	4	18.9634
10272	19	16.7154
10273	1	20.9634
10274	10	17.6414
10275	1	20.9634
10276	3	19.3784
10277	1	20.9634
10278	3	19.3784
10279	3	19.3784
10280	8	17.9634
10281	28	16.156
10282	4	18.9634
10283	2	19.9634
10285	2	19.9634
10286	1	20.9634
10287	3	19.3784
10288	30	16.0565
10289	127	13.9747
10290	72	14.7934
10291	10	17.6414
10292	10	17.6414
10293	43	15.5371
10294	118	14.0807
10295	4	18.9634
10296	954	11.0655
10297	43	15.5371
10298	29	16.1054
10300	8	17.9634
10302	1	20.9634
10303	5	18.6414
10304	5	18.6414
10305	30	16.0565
10306	30	16.0565
10307	71	14.8136
10308	44	15.5039
10309	610	11.7107
10310	8	17.9634
10311	20	16.6414
10312	151	13.725
10313	884	11.1755
10314	9	17.7934
10315	5	18.6414
10316	4	18.9634
10317	46	15.4398
10318	69	14.8548
10319	3	19.3784
10320	1747	10.1927
10322	31	16.0092
10323	24	16.3784
10324	11	17.5039
10325	38	15.7154
10326	9	17.7934
10327	19	16.7154
10328	25	16.3195
10329	2	19.9634
10331	369	12.4359
10332	1	20.9634
10335	3	19.3784
10337	123	14.0208
10338	47	15.4088
10339	40	15.6414
10340	49	15.3486
10341	70	14.8341
10342	573	11.801
10343	12	17.3784
10344	52	15.2629
10345	74	14.7539
10346	234	13.093
10347	8	17.9634
10348	689	11.535
10349	139	13.8444
10350	150	13.7345
10351	54	15.2085
10352	71	14.8136
10353	222	13.1689
10354	167	13.5797
10355	632	11.6596
10356	66	14.919
10357	181	13.4635
10358	42	15.571
10359	144	13.7934
10361	7	18.156
10362	2	19.9634
10366	1	20.9634
10391	1	20.9634
10506	3894	9.03632
10528	4497	8.82861
10530	11	17.5039
10535	1	20.9634
10536	3	19.3784
10537	75	14.7345
10540	87	14.5204
10541	5	18.6414
10542	168	13.571
10543	7	18.156
10544	3	19.3784
10554	12	17.3784
10555	832	11.2629
10556	20	16.6414
10557	2	19.9634
10559	7	18.156
